Review Teks;Rating;Label;;;;;;;
Bagus, iya bagus. Tapi masalahnya bug pada lirik yang gak bisa muncul. Sama untuk pengguna free terlalu banyak iklan, masa 1 lagu ada lebih dari 2 iklan dan durasi iklannya 30 detik. Ngotak dikit lah bang.,1;1;Negative;;;;;;;
Beberapa lagu tidak menampilkan lirik. Padahal sebelumnya ada lirik nya, tetapi tiba tiba tidak bisa memuat lirik. Selain itu sudah stel playlist yang ingin didengarkan tetapi masih terdapat lagu diluar playlist yang diputar. Bikin kurang nyaman,3;3;Negative;;;;;;;
Makin kesini spotify makin gaje. Sekarang malah buffering mulu , coba cari lagu juga buffering, mau klik lagu juga buffering katanga ada masalah di koneksi internet. Trus kita coba uninstall dan install lagi , disuruh login ,eh ngga masuk². Kocak! Spotify lagi diboikot apa gimane?,1;1;Negative;;;;;;;
"Lirik lagu kok sekarang banyak yang hilangan ya? Alias tertulis ""Tidak dapat memuat lirik lagu ini"". Padahal sebelumnya, semua lirik lagu dapat dimuat. Sudah ngelakuin banyak cara, update versi terbaru tepat waktu, pembersihan cache, re-install, dkk, tpi tetap ga muncul. Huft, mengecewakan:(,3";3;Negative;;;;;;;
Pas saya download spotify mulai merasa nyaman mendengarkan lagu lagunya tapi pas susah update beberapa lagu tersebut tidak ada liriknya dan pas saya mau mendengarkan lagu malah di suruh bayar premium padahal sebelumnya tidak seperti itu dan update sekarang terlalu banyak iklan nya mohon di perbaiki yaa kak/bang,2;2;Negative;;;;;;;
Iklan horror nya sangat menggangu, apalagi dengerin lagu nya pas malam-malam. Tolong banget iklan nya di kurangin, 1 music 1 iklan, iklan horror juga lagi. Kalo kaya gini trs bikin orang takut dengerin music di Spotify.,1;1;Negative;;;;;;;
aku suka kok sama aplikasi nya, dari dulu sampe sekarang. tapi kenapa pengguna gratisan sekarang dibatasi banget ya? kayak contohnya, beberapa lagu lirik nya gaada, bug nya banyak, pokoknya banyak banget deh. terus aku liat ulasannya pengguna premium juga lumayan banyak yang dibatasi loh, gimana ini ngab developer? tolong diperbaiki lagi ya, kangen banget sama Spotify yang dulu.,3;3;Negative;;;;;;;
Akhir² ini malah sering banyak bug nya. Dulu kalau saya komplain lewat email pasti direspon. Tapi sekarang tidak. Optimalisasi jaringan juga jelek banget. Padahal kalau buka yang lain bisa, tapi giliran spotify malah 'tidak ada internet' katanya. Tolonglah, untuk masalah jaringan dioptimalisasi lagi.,2;2;Negative;;;;;;;
kenapa ditengah2 lagu sering mati, jadi ngulang berkali2, cache sdh dibersihkan juga masih tetap sama, jaringan pun juga bagus. Harus stay di room spotify nya supaya ga mati, jadinya ga bisa sambil main hp. I feel very annoyed about this🙏,3;2;Negative;;;;;;;
Aplikasi lagu yang terbaik👍🏻. Aku ngga nyesel menggunakan apk ini👏🏻💯. Cuma saran saya, tolong jangan terlalu banyak lagu yang tidak bisa diputar di spotify dong. Banyak lagu yang menarik dan bagus tetapi lagunya premium dan perlu beli voucher premium,4;4;Positive;;;;;;;
Untuk Spotify, tolong ya kalau iklan setidaknya jangan yang horor mulu! Gak semua orang suka hal² berbau mistis dan gak semua orang pemberani. Setidaknya diseleksi lah kalau malam kasih iklan yang biasa aja. Ini siang malam horor. Bahkan tengah malam lagi enaknya dengerin lagu malah ada aja iklan horornya lagi. Gue liat juga banyak yang mengeluhkan masalah ini. Tolong ya setidaknya kalau mau pasang iklan dari podcast horor, setidaknya siang aja!,4;4;Positive;;;;;;;
Suka banget pakai Spotify, karena sangat berguna untuk aku yang nggak bisa sehari aja nggak dengerin lagu atau musik. Cuman kadang suka kesel kalau pas lagi pencet lagu yang mau diputar, ada jeda waktu beberapa detik sebelum diputar. Mungkin bug atau lagging kali ya? Selain itu, baik fiturnya. Semoga yang bug/lagging itu bisa diperbaiki, thank you,5;5;Positive;;;;;;;
1. lirik sering error 2. mau dengerin secara shuffle aja harus premium kalau ga mau dicampur sama lagu rekomendasi 3. iklan terlalu sering. satu dua lagu langsung iklan, iklannya dua kali lagi 4. kalau pause musik, pop up di panel notifikasi hilang. jadi harus ke aplikasinya kalau mau play lagi 5. ini ga penting sih. ikon love lebih kelihatan bagus daripada tanda centang. tahu sih, kalian mau pengguna premium tambah banyak, tapi ini kaya terlalu memaksakan wey! bener bener ga bikin nyaman😞,1;1;Negative;;;;;;;
Aplikasinya makin parah, banyak bug dll. Soal iklan gpp deh bisa dimaklumi, kan cari duitnya disana ya. Tapi kalo maksa buat premium itu parah bgt, baru denger 2-3 lagu dipaksa premium, dan ga bisa pilih lagu kaya sebelumnya. Selamat kalian akan kehilangan banyak pelanggan,1;1;Negative;;;;;;;
"Aplikasunya bagus banget, dah gak seperti dulu lagi. Tapi ada sedikit kekurangan!! 1. Iklan, kalau iklan oklah tapi jangan setiap sekali/duakali putar lagu langsung iklan, malah kadang iklannya bisa sampe 3x/4x dah gitu durasinya 30 detik 2. Loadingnya lama, loading juga kadang bagus, cepet. Tapi juga kadang lemot, dah gitu sinyal sama jaringan bagus dan paket data juga sudah dihidupin tapi malah muncul ""hubungkan ke internet"" kan bikin kesel. Jadi tolong diperbaiki & ditingkatkan lagi spotify.,5";5;Positive;;;;;;;
Sangat praktis untuk mendengarkan Musik dam simple dan memilih lagu favoritnya bisa buat playlis denga teman akses lebih cepat dan mudah suara lebih jernih,dapat di putar dimana saja,suara musiknya makin OK saja,sering ada lagu yang terdiam padahal digitnya jalan.suara jernih,bass ok.lagu terhenti di tengah.,error tidak dapat di aces,apa tdk ada jaringan di INDONESIIA,kami sudah bisa aces,4;4;Positive;;;;;;;
nulis review sebelum aplikasinya di uninstall. sebenarnya aplikasi ini bagus banget, apalagi untuk aku yang hobby dengerin musik, koleksi musiknya lengkap, legal ,fitur fiturnya banyak lengkap, ada podcast juga. sayang kalau menggunakan spotify free terbatas aksesnya, termasuk untuk fitur biasa tidak begitu spesial harus premium, ini yang fatal bagi saya. saya sering langganan beberapa app premium, tapi berfikir dua kali kalau untuk langganan app musik. terimakasih,5;5;Positive;;;;;;;
Pliss ini kenapa tiba tiba liriknya pada gk bisa ditampilkan semuaaa, padahal mah biasanya bisaa. Dan lagu yang biasa diputar itu ada liriknya tapi sekarang tiba tiba ngilang. Ngeselin banget sekarang Spotify dan juga kadang musik nya suka berhenti tiba tiba trus pas di play lagi malah ngulang lagi dari awal,1;1;Negative;;;;;;;
Ini aplikasi udah oke aja si, tapi satu hal yang membuat aku ranting buruk adalah iklannya kenapa harus horor apalagi munculnya di jam sore hingga malam. Membuat para pengguna merasa tidak nyaman, tolong berikan iklan yang tidak mengacaukan pikiran. Berikan iklan-iklan yang bermanfaat seputar berita terkini asalkan jangan yang horor,1;1;Negative;;;;;;;
Spotify sekarang bener bener jelek bgt, banyak bug dll. Setiap saya sedang mendengarkan lagu pasti ada iklan dan iklannya juga buka satu melainkan 2. Tapi menurut saya itu wajar aja. Tapi kok ini malah ngelunjak?! Saya sedang mendengarkan lagu, tiba tiba lagu yang Saya tidak suka di putar. Saat Saya ingin mengganti lagu nya tidak bisa dan malah di suruh untuk pindah ke premium. tolong di perbaiki lagi ya agar jangan memaksa pendengar untuk pindah ke premium. Sy bakal ganti rate klo udh perbaiki,1;1;Negative;;;;;;;
Updatetan sekarang agak menyusahkan ya, saat di tengah mendengarkan lagu sambil membuka aplikasi lain malah mati, dan lagu tidak bisa di putar karena tidak ada koneksi internet padahal jaringan saya baik, lirik yang tidak bisa di muat dan beberapa hal lain yang menyusahkan.,2;2;Negative;;;;;;;
Bagus sih, cuma ya, tolongg banget, waktu buat dengerin lagunya dibanyakin terutama buat berberapa dari kita yang gratisan, bagus sih bagus, cuma gak segitunya kali, apalagi gw yang suka denger lagu sambil buka apk lain / belajar, pas mau request lagu ga bisa, padahal baru beberapa lagu, tolong banget di banyakin waktunya ya spotify 🙏,2;2;Negative;;;;;;;
Setelah update, spotify jadi lebih sering stop sendiri lagunya. Mantap 👍👍👍. Baru setengah lagu sudah distop. Curiga ada polisi non premium di aplikasinya. Jadi pengguna non premium selain dikasih 2 iklan selama 1 menit setelah 2 atau 3 lagu selesai, sekarang juga gk dibolehin dengar lagu lama-lama. Memang terbaik spotify zaman sekarang. TERBAIK! Kalo bisa bintang 100 kukasih bintang 100 nih,3;3;Negative;;;;;;;
Ini knp lagunya bnyk yg ga bisa tampilin lirik, biasanya langsung muncul lirik, di deskripsi nya tidak dapat memuat lirik, pdhl ini lagu yg saya sering setel, beberapa lagu juga sama seperti itu. Tolong Spotify perhatikan ini demi kenyamanan pengguna. Klo sudah diperbaiki saya balik lagi buat ganti bintang nya. Trmksh.,1;1;Negative;;;;;;;
Kenapa setelah di update jadi gini,dulunya bisa milih/lompati lagu sekarang ga bisa,mau milih lagu lagunya cuman bisa 30 detik aj di putar. Plis dong ubah jadi yang dlu, jelek yg sekarang. Minimal bisa milih lagu lah. Masa milih aja ga bisa. Iklannya juga gak ngotak. Baru satu lagu sudah iklan. Makin jelek aja,1;1;Negative;;;;;;;
sebenarnya udah bagus, cuma lirik lagu ga bisa dimuat padahal jaringan bagus, lirik lagu juga banyak yang hilang, lagu sering stuck, iklan nya ga ngotak, banyak banget. Terus kalo mau lompatin lagu juga dibatas, kalo bisa di update jd lebih baik lagi.,2;2;Negative;;;;;;;
Sebenernya,, aplikasi nya udh bagus ya..... Cuman aku kasih bintang 3 karena 2 hal ... Yaitu... 1. Ketika sudah memutar lagu dan akan lanjut ke lagu selanjut nya itu pasti iklan... Mksd nya... Sekali putar iklan sekali putar iklan... 2. Ada beberapa lagu yg tidak dpt memuat lirik,, pdhl dulu ps sebelum di update gk pernah kk gitu.. Udh sih gitu doang,, *maaf jika ada kata yg kurang sopan dsb 🙏🙏.,3;3;Negative;;;;;;;
permasalahannya di spotify itu sekarang iklannya lebih sering, detik lagu suka nge stuck, lagu lagu suka hilang (ntah dihapus atau bagaimana), liriknya ga bisa dimuat padahal jaringannya baik baik aja, cuman itu aja sih di aku. keseluruhan yang lain bagus, tapi tolong developer masalah yang disebutkan segera diperbaiki soalnya bikin ga nyaman, beberapa kritik dari pengguna lain juga sudah ada tapi ga digubris, tolong diperbaiki lebih baik lagi, terimakasih.,3;3;Negative;;;;;;;
Mengapa iklan yang jadi banyak sekali jadi karena setiap 2 lagu wajib ada iklan paling kesel deh kalau ada iklan 30 detik di setiap 2 musik aku kan lama-lama jadi gak tahan kalau ada iklan terus spotify tolong memperkembangkan lagi ya iklannya dikurangin kalau iklannya dikurangin aku kasih bintang 5 dan juga jangan terlalu maksain buat membeli premium karena kebanyakan belum mempunyai uang. Semoga spotify dapat diperkembangkan lagi Dan tolong di setiap lagunya harus ada liriknya.,1;1;Negative;;;;;;;
Spotify kesannya cari untung sekali, sampai-sampai lupa pada kenyamanan penggunanya. Mulai dari untuk skip/lompat lagu bahkan harus berbayar! Iklan yang terlalu berlebihan dan selalu spam setiap mendengarkan musik. Benar-benar tidak beres! Bahkan hanya untuk mengatur urutan atau membuat lagu otomasi bermain lagi saja berbayar! Yang benar saja, bukankah itu fitur umum yang seharusnya ada di setiap apikasi musik? Saya muak sekali dengan spotify, kecewa!!!,1;1;Negative;;;;;;;
Spotify kenapa ya akhir2 ini semakin di update sering bug, kaya lagu tiba2 berenti atau mati sendiri, terus aplikasi lagi berjalan tiba2 ngeclose sendiri. padahal saya user Spotify udh dari lama cuma sekarang2 update an nya ko makin banyak bug sama iklan ya.,1;1;Negative;;;;;;;
Aplikasi musik paling bagus.fitur lengkap ,pilih lagu dari genre apapun semaumu.semua lagu dari seluruh dunia tersedia dari yang klasik sampai yang etnik juga ada.beberapa kali coba aplikasi lain berujung uninstal. Spotify best pokoknya.,5;5;Positive;;;;;;;
tolong ini kenapa lirik di beberapa lagu tidak bisa dimuat? padahal jaringan saya lagi bagus banget. Dan iklannya lumayan ganggu ya, saya baru puterin 2 lagu udah iklan, kadang iklannya bisa 2 sekaligus beberapa kali. Tolong segera diperbaiki ya, terimakasih🙏,3;3;Negative;;;;;;;
Piye Iki mas? Kenapa lirik-lirik lagunya gak ada padahal jaringan stabil? Terus, saat di pause lalu di play lagi, detik lagu yang ada di bar notifikasi jadi nge-stuck? Padahal aku cinta banget sama Spotify eh mlh kayak disuruh premium ngono. Developer mana lagi yang harus aku percaya 😔,5;5;Positive;;;;;;;
Beberapa lagu ada yang belum, lalu banyak iklan. Lalu kadang kadang liriknya gak bia di muat. tapi bener bener baik sih pelayanan spotiffy nya. Pas layar dimatikan masih bisa didengar dan enak buat nge vibe gitu loh sore sore minum teh dengerin lagu spotiffy. Terus kurang puas sih soalnya gabisa beli prenium wkwkwk.. soalnya kalo prenium kayaknya lebih enak gak sih, juga bisa didengar pas offline. Yaah menurut aku kekurangan dan kelebihannya sama, terimakasih.,3;3;Negative;;;;;;;
Saya sebagai penikmat musik merasa puas sekali dengan aplikasi ini, tapi satu catatan buat developer untuk merubah / menambah fitur download offline per lagu jadi bukan hanya berdasarkan playlist. Jadi saya tidak harus membuat playlist untuk mendowload lagu yang akan diputar secara offline. Ide tambahan untuk Spotify dari saya yaitu tambahkan sesi komentar ditiap lagu / podcast agar pengguna dapat berinteraksi sosial di dalam sebuah platform streaming musik.,5;5;Positive;;;;;;;
sangat bagus untuk mengisi waktu luang dan saya itu termasuk orang yang music 24/7 tapi tolonglah buat spotify supaya iklannya jangan kebanyakan. ITU SANGAT MENGGANGGU setiap 1 lagu dan beralih ke lagu lain selalu iklan. padahal waktu pertama kali menggunakan aplikasi ini iklan di setiap 3/4 lagu. TAPI SEKARANG IKLAN DI SETIAP LAGU DAN MENGGANGGU SEKALI, TOLONGLAH DIKURANGIN KLO BISA DIHILANGKAN SEKALIAN. *SEKARANG BERTAMBAH LAGI KENDALANYA YAITU LIRIK PADA LAGU JADI HILANG,1;1;Negative;;;;;;;
Iklan sangat pas di saat musik terhenti atau di saat perpindahan lagu asalkan jangan di pertengahan lagu. Fungsi² bagus semua. Pertahankan ya😊. Tambahan : Meskipun tidak menggunakan fitur premium tapi tetap masih bisa menikmati aplikasi ini dengan banyak kelebihan. Tidak seperti aplikas pemutar musik online yang lainnya. Pertahankan ya☺️,5;5;Positive;;;;;;;
"Makin di update makin banyak bug, bug pertama beberapa lirik di lagu gk bisa di tampilkan padahal sebelumnya bisa. kedua, selalu ada tulisan ""anda sedang offline"" padahal internet ku lancar"" aja kok. tolong segera di perbaiki dong aplikasi nya, jujur, ini sangat menggangu.,3";3;Negative;;;;;;;
Sebenarnya gw gak mau kasih rating 2 cuman karna Spotify punya pemaksaan untuk membeli premium jadi tidak bisa memutar lagu sesuka kita dan juga ada iklan yang mengganggu saat mendengarkan musik saya harap iklan dapat di kurang kan karna saya tidak suka gangguan iklan dan pemaksaan untuk membeli premium terimakasih.,2;2;Negative;;;;;;;
Spotify sekarang banyak bug nya, lirik nya tidak dapat di muat padahal jaringannya sangat sangatttttt baik² saja dan lagi terkadang lagu nya keputar tapi suara nya malah ngilang. Tolong developer nya di buat lebih bagus lagi ya. 🙏🏿👍🏿,3;3;Negative;;;;;;;
Sebelumnya saya pernah uninstall aplikasi ini di HP krn tdk bisa keluarkan lirik untuk bisa berkaraoke sambil mendengarkan lagu. Suatu waktu coba install kembali dan sangat gembira sdh ada fasilitas lirik lagu. Sangat puas, ditunggu pengembangan lebih lanjut seperti mengecilkan suara asli menjadi benar² layaknya berkaraoke.,5;5;Positive;;;;;;;
"Kenapa ya sblm di update apk ini lancar² aja tp semenjak di update apk ini banyak bug-nya, contoh ""tidak dapat memuat lagu"" pdhl sinyalnya bgs, trus jg kdg gd lirik nya, dan ga smuanya bisa dipilih lagunya, dan jg musiknya jln tp gda suaranya dan terlalu bnyk iklan baru 1× mutar music udh ada iklan aja, pdhl sblm di update apk ini super duper bgs bngtt bs milih lagu sesukanya&sepuasny nah klo skrg gbs, sy jg udh hps trus download lgi, hps chacenya tp ttp gbs, ini gmn ya developer, tlg diperbaiki,2";2;Negative;;;;;;;
Ga seneng banget kalo udah iklan podcast serem. Emang sih sekarang udah ga ada suara2 jumpacare tapi tetep aja gw yang takutan terus lagi nyetel sendirian dikamar malem2 kan ga asik banget. Pocong lah, cerita horor lah. Lebih baik iklan biasa aja yang suruh bayar premium dripada iklan2 podcast horor..pls😭😭,3;3;Negative;;;;;;;
Plis lah sportify masa tiba2 ga bisa milih lagu lain bahkan hrs premium dlu dan ga semua ada uang apalagi pelajar,suka ada tulisan tidak ada internet padahal kuota ada,pliss awalnya ini aplikasi favorit aku krna aku suka bgt dengerin musik tiap hari tp karena skrng ga bisa bebas milih lagu dan hrs premium jd ga like.pliss balikin kek dlu lagi dong klo emg marketingnya user hrs premium ga gini jg kali woy,iklan ga cuma 1 tp skligus 2 udh gtu iklan podcast horor mulu lagi!!!!!,1;2;Negative;;;;;;;
sekarang kebanyakan iklan walaupun ngga premium, jelek, kadang eror juga, terus kenapa musiknya jadi dibatasi gini? tolong diperbaiki kayak dulu, dan ada beberapa lirik yang tidak tersedia, saya kecewa. tolong diperbaiki.,2;2;Negative;;;;;;;
Semua tidak ada kejanggalan, sampai saat ini bagus bagus aja, tetapi tolong lah kepada spotify, pengiklanan anda terlalu brutal, mau menekan tombol search di tawarin, terutama iklan premium, gapeduli saya sama iklan podcast dll cuman ini premium, mengganggu banget, ga semua orang pengen premium, dan ga semua orang main di Spotify jadi jangan memaksakan user nya untuk premium, boleh iklan memberitahu tetapi jangan brutal dan spam, semoga ada kehendak kedepannya👌,3;3;Negative;;;;;;;
Saya sudah lama memakai apk spotify,,yang tidak nyaman adalah Iklan berulang². Mohon pihak Spotify sempurnakan agar lebih nyaman menggunakan nya..!!! Trimksih..!,1;1;Negative;;;;;;;
"Aku suka Spotify buat dengerin musik favorit aku... Tapi yang gak aku suka Spotify nya suka berhenti sendiri padahal koneksi internet baik"" aja lagi asik kebawa suasana lagunya ehh malah mati di tengah2 kann kesel.. Tpi aku kasi bintang 5 semoga kalo di update jadi lebih baik lagi,5";5;Positive;;;;;;;
"Suka mendengarkan music"" favorit, tapi pas buka aplikasi beberapa detik stuck gak bisa gerak meskipun music masih tetap berjalan setelah itu normal lagi gitu terus""an, dan satu lagi aplikasi sering keluar peringatan paksa untuk keluar...,3";3;Negative;;;;;;;
Aku sudah suka dengan spotify, masih bisa mendengarkan musik jika keluar layar atau ponsel dalam keadaan mati. Tapi aku harap tolong hilangkan shuffle pintar. Karena ingin tetap mendengarkan lagu sesuai urutan tanpa harus premium. Terima kasih...,5;5;Positive;;;;;;;
Aplikasi nya sudah bagus banget dan lagu yg tidak bisa dicari bisa ketemu di Spotify beda dengan joox alangkah baik nya diperbaiki misal dengerin musik tanpa paketan tanpa harus langganan bulanan bisa tetep dengerin musik di Spotify ini pasti Spotify lebih laku di pasaran dunia Musikan di playstore ini dan diminati banyak orng tanpa harus berlangganan bulanan coba ya perbaiki biar Kya joox tanpa harus langganan bulanan gpp ada iklan nya tapi tetep bisa dengerin musik yg di cari dan lengkap,1;1;Negative;;;;;;;
"Awalnya nyaman nyaman aja dan pake Spotify dan juga gk terlalu mempermasalahkan iklan, tapi jadi kecewa semenjak di update, liriknya jadi ilang padahal sebelumnya ada liriknya. Selalu ada tulisan ""tidak dapat memuat lirik untuk lagu ini"" padahal jaringan internet lancar lancar aja. Saya berharap bisa segera diperbaiki untuk masalah ini terimakasih.,3";3;Negative;;;;;;;
Ini mau beli paket dari aplikasi langsung kok kayak gini? Belum berapa detik langsung nggaj bisa diakses. Lah, maksudnya gimana? Jaringan lancar jaya, nggak lemot. Masih bisa di akali kalau mau beli paket, tapi kalau klaim hadiah dari misi yang telah di kerjakan? Nggak tahu, makin di update makin nggak ngotak masalahnya. Bahkan ini kejadian sudah lumayan lama, plis lah kalau update aplikasi jangan cuma tampilannya di perbaiki, sistem nya juga dong. Yang tadi udah mau seneng udah nggak mood😒🙄,1;1;Negative;;;;;;;
"Aplikasinya bagus banget 😭 terlepas dari akunku yang nggak premium dan tentunya ada iklan, menurutku iklannya nggak sebanyak dan nggak sesering itu. Dibikin terharu sama kilas balik tahunan dengan kata-kata ""mari kita lakukan lagi tahun depan"" huaaaa Spotify makasih banyak udah nemenin aku ngerjain tugas dan menjadi saksi stress nya aku waktu dikeroyok tugas. Makasiiihh banyaakkk bangett 💗❤️🌷💐🙆‍♀️ luv Spotify 🌷,5";5;Negative;;;;;;;
saran aja nihh gk keberatan si klo ada iklan namanya juga gratisan,kaga premium tapi klo tiap denger satu ataw dua lagu selalu ada aja iklan malah jadi risihhh terus juga gaktau kenapa makin sini malah lemot bgt aplikasi nya,geloooo!!semoga aja dibenerin klo peduli buat pengguna si harusnya bisa di perbaiki,2;2;Negative;;;;;;;
aplikasi ini menurut ku udah bagus cuman tolong dong perbaiki ada lagu yang tidak ada lirik nya padahal ada tulisan lyric nya, terus masalah iklan tolong dong di kurangin itu aja sih selebihnya udah bagus👍,3;3;Negative;;;;;;;
Spotify adalah aplikasi untuk mendengarkan lagu dan podcast gratis. Download musik, album, dan podcast lalu dengarkan di pemutar lagu offline dengan berlangganan Spotify Premium. Ayo dengarkan dan download musik pop, rock, dan genre apa pun sepuasnya.,5;5;Positive;;;;;;;
Kami selalu melakukan perubahan dan peningkatan pada Spotify. Untuk memastikan tidak ada yang terlewat, cukup aktifkan Pembaruan. Tapi ga pada hp menengah ke bawah,4;4;Positive;;;;;;;
Sekarang kenapa ga bisa beli premium tiap mau bali tulisannya apalah itu bermasalah di suruh cek setting trs coba lagi berkali kali mau ngeklik ga jadi jadi, ga boleh beli premium apa gimana, trs kenapa nawarin iklan premium aneh,4;4;Positive;;;;;;;
ini Spotify sekarang kenapa ya lagu² nya pada gaada lirik nya pdhl dulu ada skrng kebanyakan lagu² di playlist ku pada gaada lirik nya padahal dulu ada,klo ini masalah dari Spotify nya tolong untuk diperbaiki. dan tolong dong makin kesini jgn makin pelit sekarang cuman mau ganti² lagu aja hrs premium.,2;2;Negative;;;;;;;
Apk nya lumayan seru dan membantu saya buat rileks karena ada lagu-lagu yang chill,Tapi ada bug yaitu lirik lagu yang kadang nggak bisa dimuat padahal jaringan internet saya lancar saja Mohon untuk segera diperbaiki untuk bug nya(trimss),4;4;Positive;;;;;;;
Apk nya baguss dan seruu...dan kenapa saya beri ranting 4 karena saya cuman agak tidak suka saat lagi asik mendengar lagu tiba tiba muncul iklan dan iklannya pun lama dan banyak..sudah itu saja yang mau saya sampaikan terimakasih🙆🙆,4;4;Positive;;;;;;;
Udah oke tapi tolong balikin dong lirik lirik lagunya, masa ada beberapa lagu yang ga muncul liriknya, jelek banget, testi dari yang premium ternyata mereka juga ngalamin yg sama, jadi males premium. Terus kualitas suaranya masih bisa ditingkatin, masa kalah sama YT Music,4;4;Positive;;;;;;;
kenapa ya tiba-tiba logout akun??!!! pas mau log in lagi malah kombinasi sandi sama email salah, padahal udah bener, tolong dong spotify jangan gini, mana akunku masih premium, kasih solusi!!! udah nyoba uninstall sama install ulang tetep aja gabisa,2;2;Negative;;;;;;;
